uuid,timestamp,http_status_code,request_url,response_time,http_version,headers
2847540f-f908-44dd-af0f-5f2ed1e8ce0f,2025-01-26 14:47:18,403,http://localhost:5000/sanitize,39.47 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:18 GMT; server: uvicorn; content-length: 54; content-type: application/json
4206edb1-6a3d-43d4-83a9-e51f93785ba6,2025-01-26 14:47:19,200,http://localhost:5000/sanitize,83.55 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:18 GMT; server: uvicorn; content-length: 3660; content-type: application/json
1b8c462f-ac64-4304-9980-ca1635da7330,2025-01-26 14:47:19,200,http://localhost:5000/sanitize,70.10 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:19 GMT; server: uvicorn; content-length: 1409; content-type: application/json
c10938af-4a58-4027-8586-9c7bfba45037,2025-01-26 14:47:19,200,http://localhost:5000/sanitize,75.21 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:19 GMT; server: uvicorn; content-length: 824; content-type: application/json
db3b655b-fac9-4a32-affb-04f2837fe97c,2025-01-26 14:47:20,200,http://localhost:5000/sanitize,90.18 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:20 GMT; server: uvicorn; content-length: 824; content-type: application/json
4d342d16-9e11-40e4-889f-81c5b25434bd,2025-01-26 14:47:20,200,http://localhost:5000/sanitize,74.52 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:20 GMT; server: uvicorn; content-length: 883; content-type: application/json
ce5db8dd-9d04-4b62-b46a-e5515af8c767,2025-01-26 14:47:21,403,http://localhost:5000/sanitize,47.15 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:20 GMT; server: uvicorn; content-length: 54; content-type: application/json
48c969aa-5e88-4770-b501-822e817fe122,2025-01-26 14:47:21,200,http://localhost:5000/sanitize,49.15 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:21 GMT; server: uvicorn; content-length: 3660; content-type: application/json
eb50c056-baed-47e6-9010-16a28abf6c58,2025-01-26 14:47:21,403,http://localhost:5000/sanitize,29.84 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:21 GMT; server: uvicorn; content-length: 54; content-type: application/json
dbabe1bc-3977-4ca3-a479-eb867b34726f,2025-01-26 14:47:22,403,http://localhost:5000/sanitize,6.83 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:21 GMT; server: uvicorn; content-length: 54; content-type: application/json
cdb99236-8db9-4e73-a52c-58ea1e2c2c78,2025-01-26 14:47:22,403,http://localhost:5000/sanitize,6.41 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:22 GMT; server: uvicorn; content-length: 54; content-type: application/json
01d079b9-306a-4f10-b6d3-250319e34bd6,2025-01-26 14:47:22,403,http://localhost:5000/sanitize,7.56 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:22 GMT; server: uvicorn; content-length: 54; content-type: application/json
23db1f6d-beae-473d-aaa4-acd49bb96ff8,2025-01-26 14:47:23,403,http://localhost:5000/sanitize,26.32 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:22 GMT; server: uvicorn; content-length: 54; content-type: application/json
d07d1ab8-f710-4c67-81ca-961165e4f325,2025-01-26 14:47:23,403,http://localhost:5000/sanitize,24.20 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:23 GMT; server: uvicorn; content-length: 54; content-type: application/json
f1fd57a0-f622-44e9-a135-47f107f03e8c,2025-01-26 14:47:23,200,http://localhost:5000/sanitize,52.91 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:23 GMT; server: uvicorn; content-length: 1409; content-type: application/json
e73dd5a3-374a-48af-9d45-9a9a8d810e6e,2025-01-26 14:47:24,403,http://localhost:5000/sanitize,40.26 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:24 GMT; server: uvicorn; content-length: 54; content-type: application/json
1cc5abe4-44ae-433c-9c01-60203b4b997d,2025-01-26 14:47:24,403,http://localhost:5000/sanitize,8.32 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:24 GMT; server: uvicorn; content-length: 54; content-type: application/json
000970d1-53e2-4efe-b551-d68fc6404604,2025-01-26 14:47:24,403,http://localhost:5000/sanitize,23.54 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:24 GMT; server: uvicorn; content-length: 54; content-type: application/json
8e425454-e98b-445c-b42a-37dfc41595dc,2025-01-26 14:47:25,403,http://localhost:5000/sanitize,18.43 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:25 GMT; server: uvicorn; content-length: 54; content-type: application/json
5c8d19c5-f893-4e3b-8bcf-1e678d956461,2025-01-26 14:47:25,200,http://localhost:5000/sanitize,71.04 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:25 GMT; server: uvicorn; content-length: 874; content-type: application/json
1d92be7f-03c9-4d41-9c50-fcf1601794d6,2025-01-26 14:47:26,200,http://localhost:5000/sanitize,83.24 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:25 GMT; server: uvicorn; content-length: 1409; content-type: application/json
ae025dc5-9f90-4d38-82ca-2bca29e10d08,2025-01-26 14:47:26,200,http://localhost:5000/sanitize,79.56 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:26 GMT; server: uvicorn; content-length: 8180; content-type: application/json
0c4ebb6a-0059-4d2c-bcfb-6e7607afd802,2025-01-26 14:47:26,200,http://localhost:5000/sanitize,63.17 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:26 GMT; server: uvicorn; content-length: 823; content-type: application/json
cf592cb9-8a33-490a-924b-753962f6057b,2025-01-26 14:47:27,200,http://localhost:5000/sanitize,76.48 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:26 GMT; server: uvicorn; content-length: 890; content-type: application/json
06fa8b6a-ba73-417b-975b-4dfd463ba716,2025-01-26 14:47:27,403,http://localhost:5000/sanitize,7.45 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:27 GMT; server: uvicorn; content-length: 54; content-type: application/json
8a8b6b81-0f9f-414a-9899-a28960466bc9,2025-01-26 14:47:28,200,http://localhost:5000/sanitize,58.36 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:27 GMT; server: uvicorn; content-length: 3660; content-type: application/json
09390d2c-b3df-45ce-8828-7864ef1284f6,2025-01-26 14:47:28,200,http://localhost:5000/sanitize,76.74 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:28 GMT; server: uvicorn; content-length: 1409; content-type: application/json
27e08012-1de0-40f9-8888-c1a487d19832,2025-01-26 14:47:28,403,http://localhost:5000/sanitize,28.84 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:28 GMT; server: uvicorn; content-length: 54; content-type: application/json
e8b743d8-1d3f-49bd-b069-4eca9a2769b8,2025-01-26 14:47:29,403,http://localhost:5000/sanitize,7.91 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:28 GMT; server: uvicorn; content-length: 54; content-type: application/json
a6476a6b-0009-4f1f-aa66-c113ad262e6e,2025-01-26 14:47:29,403,http://localhost:5000/sanitize,9.18 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:29 GMT; server: uvicorn; content-length: 54; content-type: application/json
ea94f220-a11a-41aa-b445-60c06d1bddf6,2025-01-26 14:47:29,403,http://localhost:5000/sanitize,6.88 ms,HTTP/1.1,date: Sun, 26 Jan 2025 13:47:29 GMT; server: uvicorn; content-length: 54; content-type: application/json
