uuid,timestamp,http_status_code,request_url,response_time,http_version,headers
a2f8a7de-ed64-4085-b9a3-a76703723639,2025-01-26 16:44:43,403,http://localhost:5000/sanitize,26.40 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:42 GMT; server: uvicorn; content-length: 54; content-type: application/json
d07b1806-786b-4990-9de3-de6da390e4b4,2025-01-26 16:44:43,200,http://localhost:5000/sanitize,120.07 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:43 GMT; server: uvicorn; content-length: 3660; content-type: application/json
3bbbd95d-15e8-4981-9575-7c5b4cd48c8f,2025-01-26 16:44:43,200,http://localhost:5000/sanitize,71.34 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:43 GMT; server: uvicorn; content-length: 824; content-type: application/json
a951597e-4401-4a2b-b54f-9fb38843fd62,2025-01-26 16:44:44,200,http://localhost:5000/sanitize,79.62 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:43 GMT; server: uvicorn; content-length: 823; content-type: application/json
24ac725d-4852-480a-97f6-06a537b4cb9b,2025-01-26 16:44:44,200,http://localhost:5000/sanitize,62.88 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:44 GMT; server: uvicorn; content-length: 823; content-type: application/json
39ef852c-a50f-4252-b310-459717493bc6,2025-01-26 16:44:45,200,http://localhost:5000/sanitize,66.04 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:44 GMT; server: uvicorn; content-length: 883; content-type: application/json
beb44332-f1e0-4c82-b540-f2ed492c21f6,2025-01-26 16:44:45,403,http://localhost:5000/sanitize,29.07 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:45 GMT; server: uvicorn; content-length: 54; content-type: application/json
f29474f0-b3c1-4a53-9857-83cc900c3c60,2025-01-26 16:44:45,403,http://localhost:5000/sanitize,31.79 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:45 GMT; server: uvicorn; content-length: 54; content-type: application/json
3b017c78-d4ea-4d31-be1c-2a2a43ad0499,2025-01-26 16:44:46,200,http://localhost:5000/sanitize,57.14 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:45 GMT; server: uvicorn; content-length: 1409; content-type: application/json
8da7bed4-aef6-4316-8539-dcf8a292d0cf,2025-01-26 16:44:46,403,http://localhost:5000/sanitize,8.71 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:46 GMT; server: uvicorn; content-length: 54; content-type: application/json
f71b2058-a626-409b-8e50-6f634314933b,2025-01-26 16:44:46,403,http://localhost:5000/sanitize,7.11 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:46 GMT; server: uvicorn; content-length: 54; content-type: application/json
926eece7-8da1-4e7a-99fd-a78a0ba566dc,2025-01-26 16:44:47,403,http://localhost:5000/sanitize,17.72 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:46 GMT; server: uvicorn; content-length: 54; content-type: application/json
2c440744-c731-4514-ac0e-31bcac4b6597,2025-01-26 16:44:47,403,http://localhost:5000/sanitize,28.35 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:46 GMT; server: uvicorn; content-length: 54; content-type: application/json
3dc38b83-82a7-4e2c-8f81-72c3e6aed6e9,2025-01-26 16:44:47,200,http://localhost:5000/sanitize,58.85 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:47 GMT; server: uvicorn; content-length: 3660; content-type: application/json
efb4f660-df21-43a8-a6f0-2a292fa6ac59,2025-01-26 16:44:48,200,http://localhost:5000/sanitize,67.84 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:47 GMT; server: uvicorn; content-length: 1409; content-type: application/json
1f017196-4c0d-40ab-8cc0-36b015fe1d1f,2025-01-26 16:44:48,403,http://localhost:5000/sanitize,15.41 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:48 GMT; server: uvicorn; content-length: 54; content-type: application/json
0fb3f519-a3e8-4afb-a8e1-1bc1f28c8de9,2025-01-26 16:44:48,403,http://localhost:5000/sanitize,30.63 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:48 GMT; server: uvicorn; content-length: 54; content-type: application/json
900f5cd0-fdb4-4bc6-8820-7f3b222b3917,2025-01-26 16:44:49,403,http://localhost:5000/sanitize,30.05 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:48 GMT; server: uvicorn; content-length: 54; content-type: application/json
757fe732-6fd0-4621-8734-b409c32b4685,2025-01-26 16:44:49,403,http://localhost:5000/sanitize,5.75 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:49 GMT; server: uvicorn; content-length: 54; content-type: application/json
337a5ac3-1059-46e1-b8a5-51a89dc15c0a,2025-01-26 16:44:49,200,http://localhost:5000/sanitize,64.93 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:49 GMT; server: uvicorn; content-length: 3660; content-type: application/json
69294f9a-eea0-4b33-9dec-26b365986525,2025-01-26 16:44:50,200,http://localhost:5000/sanitize,67.59 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:49 GMT; server: uvicorn; content-length: 824; content-type: application/json
51b75426-d28b-4c46-aac9-2bcc0b7fc01d,2025-01-26 16:44:50,200,http://localhost:5000/sanitize,59.49 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:50 GMT; server: uvicorn; content-length: 823; content-type: application/json
5056071e-c096-452d-ba5e-83f2399f94d1,2025-01-26 16:44:51,200,http://localhost:5000/sanitize,71.22 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:50 GMT; server: uvicorn; content-length: 823; content-type: application/json
87c3b598-5b48-435b-a108-ab889fd83ee1,2025-01-26 16:44:51,200,http://localhost:5000/sanitize,76.50 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:51 GMT; server: uvicorn; content-length: 890; content-type: application/json
9600769f-1ffd-4990-8037-9e3eb4fea623,2025-01-26 16:44:51,403,http://localhost:5000/sanitize,28.12 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:51 GMT; server: uvicorn; content-length: 54; content-type: application/json
3d24d459-30c2-4868-8dd2-c72fc45b8796,2025-01-26 16:44:52,403,http://localhost:5000/sanitize,15.05 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:51 GMT; server: uvicorn; content-length: 54; content-type: application/json
2fd08a1e-c389-43c0-83bf-4279326e2e52,2025-01-26 16:44:52,200,http://localhost:5000/sanitize,53.59 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:52 GMT; server: uvicorn; content-length: 1409; content-type: application/json
e194d0d2-b5c0-4de5-8abf-2bb5f38d3702,2025-01-26 16:44:52,403,http://localhost:5000/sanitize,22.60 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:52 GMT; server: uvicorn; content-length: 54; content-type: application/json
67f6f0ea-cbe5-4afb-aa8d-3aa98333a3b1,2025-01-26 16:44:53,403,http://localhost:5000/sanitize,20.89 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:52 GMT; server: uvicorn; content-length: 54; content-type: application/json
2c31890e-5081-4352-9177-156b25107ac7,2025-01-26 16:44:53,403,http://localhost:5000/sanitize,28.12 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:53 GMT; server: uvicorn; content-length: 54; content-type: application/json
a48d6f78-2cf1-41a0-96d5-faeef75ebaa0,2025-01-26 16:44:53,403,http://localhost:5000/sanitize,29.00 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:53 GMT; server: uvicorn; content-length: 54; content-type: application/json
47af5159-2368-4364-a127-0072b0cb2455,2025-01-26 16:44:54,200,http://localhost:5000/sanitize,73.82 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:53 GMT; server: uvicorn; content-length: 3660; content-type: application/json
25cd2862-9448-43ee-949c-47c12b7d29df,2025-01-26 16:44:54,403,http://localhost:5000/sanitize,7.23 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:54 GMT; server: uvicorn; content-length: 54; content-type: application/json
962ebdf0-7b15-4656-8168-66d2ae250258,2025-01-26 16:44:54,403,http://localhost:5000/sanitize,8.63 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:54 GMT; server: uvicorn; content-length: 54; content-type: application/json
809f420f-906e-4a31-b817-22006224783e,2025-01-26 16:44:55,403,http://localhost:5000/sanitize,27.06 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:54 GMT; server: uvicorn; content-length: 54; content-type: application/json
f5a07aa3-b6bb-4b83-889f-066a7eb90f87,2025-01-26 16:44:55,403,http://localhost:5000/sanitize,6.67 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:55 GMT; server: uvicorn; content-length: 54; content-type: application/json
1d498c1d-b490-4d35-812f-cd713325dd57,2025-01-26 16:44:56,403,http://localhost:5000/sanitize,24.05 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:55 GMT; server: uvicorn; content-length: 54; content-type: application/json
9f91b73e-8957-4709-9b6d-a15e38e97a93,2025-01-26 16:44:56,200,http://localhost:5000/sanitize,67.42 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:55 GMT; server: uvicorn; content-length: 868; content-type: application/json
3dfe9a52-7eea-4ba6-b519-ae3a662152ad,2025-01-26 16:44:56,200,http://localhost:5000/sanitize,59.55 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:56 GMT; server: uvicorn; content-length: 824; content-type: application/json
686bd7c9-f5ce-4b7d-bf97-38112d4394cb,2025-01-26 16:44:57,200,http://localhost:5000/sanitize,75.94 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:56 GMT; server: uvicorn; content-length: 823; content-type: application/json
8fc5ccc2-f989-4120-a780-ecccfa53218a,2025-01-26 16:44:57,200,http://localhost:5000/sanitize,62.77 ms,HTTP/1.1,date: Sun, 26 Jan 2025 15:44:57 GMT; server: uvicorn; content-length: 823; content-type: application/json
