uuid,timestamp,http_status_code,request_url,response_time,http_version,headers
3ea7bb26-8765-42c5-baaf-bde11c4e9b6c,2025-01-26 18:55:32,403,http://localhost:5000/sanitize,14.08 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:31 GMT; server: uvicorn; content-length: 54; content-type: application/json
00ea381e-36f9-46c0-aad7-5789a8f2d1dc,2025-01-26 18:55:32,200,http://localhost:5000/sanitize,127.76 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:31 GMT; server: uvicorn; content-length: 1313; content-type: application/json
dad857c1-d290-4ea7-875c-026f8d8c6efa,2025-01-26 18:55:32,200,http://localhost:5000/sanitize,86.69 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:31 GMT; server: uvicorn; content-length: 2435; content-type: application/json
36bf13e3-36b2-460d-8699-29b335d64a4c,2025-01-26 18:55:33,200,http://localhost:5000/sanitize,71.68 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:33 GMT; server: uvicorn; content-length: 1084; content-type: application/json
03083db8-ef2e-4a24-8ab4-d83967bb2108,2025-01-26 18:55:33,200,http://localhost:5000/sanitize,74.53 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:33 GMT; server: uvicorn; content-length: 1080; content-type: application/json
50914a28-0b3d-4c04-87fa-8d7363c36435,2025-01-26 18:55:34,200,http://localhost:5000/sanitize,80.36 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:34 GMT; server: uvicorn; content-length: 940; content-type: application/json
0dc9e312-998b-4bbe-a02f-39ad08bb4f2f,2025-01-26 18:55:34,403,http://localhost:5000/sanitize,33.27 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:34 GMT; server: uvicorn; content-length: 54; content-type: application/json
7e0947a6-4242-4cd1-9492-7fa4c0582170,2025-01-26 18:55:34,403,http://localhost:5000/sanitize,21.20 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:34 GMT; server: uvicorn; content-length: 54; content-type: application/json
e9621ad2-0f6b-4d67-b704-15af09b864df,2025-01-26 18:55:35,403,http://localhost:5000/sanitize,24.87 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:35 GMT; server: uvicorn; content-length: 54; content-type: application/json
85655a03-b6cf-4f16-8372-dfcadbec42de,2025-01-26 18:55:35,200,http://localhost:5000/sanitize,71.11 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:35 GMT; server: uvicorn; content-length: 1084; content-type: application/json
0e855f0e-71b8-4262-8d86-7d2b30166052,2025-01-26 18:55:35,403,http://localhost:5000/sanitize,6.68 ms,HTTP/1.1,date: Sun, 26 Jan 2025 17:55:35 GMT; server: uvicorn; content-length: 54; content-type: application/json
